customer_id,customer_name,governorate,customer_segment,Age,signup date
CUST-00540,Salma Kamal,Cairo,Small Business,58,08-03-24
CUST-00750,Rana Ibrahim,Cairo,Consumer,38,23-03-22
CUST-00500,Dina Ali,Cairo,Corporate,55,01-03-23
CUST-00460,Hassan Gouda,Cairo,Small Business,52,29-08-24
CUST-00437,Ibrahim Fahmy,Cairo,Consumer,40,01-06-22
CUST-00184,Salma Fathy,Cairo,Unknown,47,21-02-24
CUST-00718,Rania Ali,Cairo,Corporate,32,22-09-22
CUST-00051,Mohamed Kamal,Cairo,Corporate,44,29-09-22
CUST-00037,Dina Ali,Cairo,Consumer,37,24-05-22
CUST-00270,Ahmed Fathy,Cairo,Corporate,25,17-08-24
CUST-00178,Dina Shawky,Cairo,Corporate,27,21-04-23
CUST-00434,Laila Fahmy,Cairo,Small Business,31,21-02-23
CUST-00556,Sara Shawky,Cairo,Corporate,61,20-12-23
CUST-00310,Dina Ali,Cairo,Corporate,23,27-01-22
CUST-00399,Mohamed Gouda,Cairo,Unknown,20,11-03-22
CUST-00421,Khaled Adel,Cairo,Consumer,36,13-04-23
CUST-00138,Laila Shawky,Cairo,Unknown,,09-10-23
CUST-00383,Heba Ibrahim,Cairo,Consumer,48,22-12-23
CUST-00223,Sherif Nabil,Cairo,Small Business,54,16-06-24
CUST-00142,Omar Fahmy,Cairo,Small Business,45,07-10-22
CUST-00359,Nesma Adel,Cairo,Consumer,35,08-06-23
CUST-00005,Hassan Shawky,Cairo,Corporate,55,14-09-24
CUST-00562,Rania Fahmy,Cairo,Corporate,23,29-08-22
CUST-00233,Karim Rashad,Cairo,Corporate,50,11-11-22
CUST-00194,Youssef Mahmoud,Cairo,Small Business,48,09-02-22
CUST-00528,Rana Fahmy,Cairo,Consumer,59,29-11-23
CUST-00044,Omar Zaki,Cairo,Consumer,47,10-10-22
CUST-00520,Rania Farouk,Cairo,Consumer,32,25-10-23
CUST-00118,Dina Kamal,Cairo,Corporate,26,16-04-24
CUST-00496,Ibrahim Fathy,Cairo,Consumer,61,05-10-22
CUST-00775,Hossam Fahmy,Cairo,Corporate,19,20-01-22
CUST-00637,Nada Ali,Cairo,Corporate,57,02-07-23
CUST-00533,Nour Ali,Cairo,Unknown,64,28-04-23
CUST-00561,Dina Nabil,Cairo,Small Business,31,14-06-22
CUST-00620,Hassan Fahmy,Cairo,Corporate,57,04-09-23
CUST-00525,Nour Nabil,Cairo,Consumer,39,02-12-23
CUST-00081,Sara Nabil,Cairo,Small Business,65,02-12-22
CUST-00064,Habiba Farouk,Cairo,Corporate,53,24-07-23
CUST-00338,Salma Ibrahim,Cairo,Corporate,25,04-11-22
CUST-00342,Sherif Naguib,Cairo,Corporate,30,10-02-23
CUST-00537,Mahmoud Shawky,Cairo,Consumer,61,29-06-24
CUST-00513,Adham Mahmoud,Cairo,Small Business,63,13-04-23
CUST-00165,Dina Gouda,Cairo,Small Business,59,17-03-22
CUST-00517,Sara Ibrahim,Cairo,Consumer,28,19-10-22
CUST-00365,Ibrahim Fathy,Cairo,Small Business,52,04-04-24
CUST-00235,Ali Aziz,Cairo,Consumer,47,07-09-24
CUST-00453,Salma Zaki,Cairo,Small Business,56,10-04-22
CUST-00798,Tarek Ibrahim,Cairo,Small Business,34,28-06-23
CUST-00610,Sara Farouk,Cairo,Small Business,31,05-09-24
CUST-00634,Aya Mahmoud,Cairo,Consumer,34,31-03-22
CUST-00608,Amr Hassan,Cairo,Corporate,21,26-01-23
CUST-00681,Rania Shawky,Cairo,Small Business,56,24-06-22
CUST-00148,Mona Sabry,Cairo,Small Business,57,03-04-23
CUST-00391,Ibrahim Ibrahim,Cairo,Consumer,55,07-07-24
CUST-00277,Dina Nabil,Cairo,Consumer,42,06-06-22
CUST-00729,Ali Gouda,Cairo,Small Business,48,12-05-22
CUST-00261,Heba Adel,Cairo,Small Business,59,23-05-23
CUST-00055,Rana Naguib,Cairo,Corporate,46,12-04-23
CUST-00710,Rana Zaki,Cairo,Consumer,65,24-08-23
CUST-00534,Sherif Fahmy,Cairo,Small Business,32,02-11-23
CUST-00077,Mona Naguib,Cairo,Corporate,25,10-07-22
CUST-00389,Ahmed Khalil,Cairo,Small Business,64,28-10-23
CUST-00407,Karim Hassan,Cairo,Consumer,28,26-12-23
CUST-00111,Ali Farouk,Cairo,Consumer,50,08-06-22
CUST-00146,Nour Fahmy,Cairo,Corporate,36,16-04-22
CUST-00091,Hassan Aziz,Cairo,Consumer,29,16-04-22
CUST-00171,Khaled Younes,Cairo,Corporate,27,19-10-23
CUST-00715,Nour Fahmy,Cairo,Corporate,34,27-08-24
CUST-00773,Hossam Ibrahim,Cairo,Consumer,58,06-07-22
CUST-00253,Farida Farouk,Cairo,Corporate,25,10-10-22
CUST-00486,Tarek Nabil,Cairo,Consumer,37,27-09-24
CUST-00781,Sara Zaki,Cairo,Corporate,33,28-04-24
CUST-00473,Khaled Fahmy,Cairo,Consumer,33,03-04-23
CUST-00699,Farida Zaki,Cairo,Corporate,25,24-01-24
CUST-00433,Mostafa Gouda,Cairo,Consumer,46,22-04-22
CUST-00485,Nour Khalil,Cairo,Consumer,31,07-05-23
CUST-00312,Adham Gouda,Cairo,Small Business,28,18-06-23
CUST-00032,Rana Adel,Cairo,Small Business,18,10-01-23
CUST-00208,Sara Khalil,Cairo,Consumer,35,11-05-23
CUST-00686,Hassan Khalil,Cairo,Corporate,56,09-04-22
CUST-00641,Rania Kamal,Cairo,Corporate,43,01-07-23
CUST-00445,Youssef Rashad,Cairo,Corporate,45,21-02-22
CUST-00219,Rania Shawky,Cairo,Small Business,38,29-10-23
CUST-00547,Farida Nabil,Cairo,Corporate,55,13-05-22
CUST-00158,Nesma Fathy,Cairo,Consumer,46,06-05-22
CUST-00095,Yasmin Saad,Cairo,Corporate,22,29-08-23
CUST-00256,Omar Aziz,Cairo,Small Business,32,29-01-24
CUST-00590,Habiba Rashad,Cairo,Corporate,32,27-04-22
CUST-00354,Salma Rashad,Cairo,Small Business,18,27-09-23
CUST-00241,Ibrahim Gouda,Cairo,Corporate,46,16-05-23
CUST-00565,Nour Saad,Cairo,Consumer,20,21-04-23
CUST-00185,Nesma Nabil,Cairo,Small Business,50,25-05-23
CUST-00188,Rania Nabil,Cairo,Consumer,45,04-07-23
CUST-00285,Rania Shawky,Cairo,Corporate,44,17-01-22
CUST-00777,Ahmed Aziz,Cairo,Small Business,31,03-04-22
CUST-00536,Nour Rashad,Cairo,Consumer,58,21-05-24
CUST-00588,Aya Sabry,Cairo,Consumer,47,25-04-24
CUST-00544,Rania Zaki,Cairo,Consumer,64,05-01-22
CUST-00447,Farida Fathy,Cairo,Small Business,46,19-07-24
CUST-00350,Karim Aziz,Cairo,Small Business,62,09-11-22
CUST-00105,Sara Khalil,Cairo,Consumer,55,13-06-24
CUST-00084,Mohamed Rashad,Cairo,Small Business,54,01-08-24
CUST-00316,Hossam Rashad,Cairo,Unknown,43,20-04-22
CUST-00451,Adham Adel,Cairo,Small Business,63,24-03-24
CUST-00769,Heba Zaki,Cairo,Corporate,59,13-09-22
CUST-00524,Rana Gouda,Cairo,Corporate,41,15-04-22
CUST-00790,Hassan Sabry,Cairo,Consumer,49,29-02-24
CUST-00461,Yasmin Kamal,Cairo,Consumer,32,18-05-23
CUST-00298,Hassan Zaki,Cairo,Consumer,54,09-08-24
CUST-00096,Yasmin Rashad,Cairo,Small Business,36,08-04-23
CUST-00732,Ahmed Hassan,Cairo,Corporate,24,22-11-23
CUST-00170,Hossam Adel,Cairo,Unknown,57,09-10-22
CUST-00063,Mahmoud Ibrahim,Cairo,Small Business,24,01-05-24
CUST-00742,Rana Ali,Cairo,Consumer,34,09-12-23
CUST-00450,Khaled Saad,Cairo,Consumer,59,28-01-23
CUST-00723,Hossam Shawky,Cairo,Corporate,33,25-01-24
CUST-00198,Yasmin Shawky,Cairo,Small Business,61,15-04-24
CUST-00714,Sherif Naguib,Cairo,Consumer,50,03-06-23
CUST-00116,Ali Adel,Giza,Small Business,30,09-02-22
CUST-00428,Khaled Mahmoud,Giza,Corporate,44,01-08-24
CUST-00412,Nesma Rashad,Giza,Unknown,54,08-06-23
CUST-00716,Sara Rashad,Giza,Small Business,33,16-09-24
CUST-00132,Heba Hassan,Giza,Corporate,44,22-09-23
CUST-00273,Farida Nabil,Giza,Small Business,47,25-09-22
CUST-00466,Amr Fahmy,Giza,Consumer,64,11-06-22
CUST-00776,Sherif Ali,Giza,Corporate,46,16-10-22
CUST-00079,Nesma Younes,Giza,Consumer,43,15-11-23
CUST-00137,Youssef Sabry,Giza,Corporate,29,14-07-23
CUST-00065,Aya Ali,Giza,Corporate,45,25-02-23
CUST-00581,Mahmoud Shawky,Giza,Small Business,21,25-11-22
CUST-00626,Ahmed Ali,Giza,Consumer,59,16-11-23
CUST-00200,Mohamed Khalil,Giza,Corporate,55,01-05-23
CUST-00711,Mahmoud Ibrahim,Giza,Corporate,55,17-07-23
CUST-00231,Adham Rashad,Giza,Small Business,37,11-02-24
CUST-00329,Khaled Ali,Giza,Corporate,40,27-02-24
CUST-00027,Mona Mahmoud,Giza,Consumer,23,17-08-23
CUST-00665,Hassan Shawky,Giza,Consumer,49,19-08-24
CUST-00720,Ahmed Saad,Giza,Small Business,61,09-12-22
CUST-00435,Mona Nabil,Giza,Consumer,23,20-04-23
CUST-00576,Mahmoud Saad,Giza,Corporate,61,02-11-23
CUST-00011,Youssef Khalil,Giza,Corporate,36,12-03-22
CUST-00307,Hassan Zaki,Giza,Consumer,18,21-11-22
CUST-00758,Ali Aziz,Giza,Corporate,26,26-01-24
CUST-00564,Mahmoud Ali,Giza,Consumer,47,15-07-24
CUST-00402,Hassan Saad,Giza,Corporate,31,27-03-22
CUST-00290,Rana Rashad,Giza,Corporate,32,02-08-23
CUST-00038,Nesma Ali,Giza,Corporate,26,10-04-22
CUST-00058,Nada Khalil,Giza,Corporate,56,28-06-23
CUST-00189,Mostafa Saad,Giza,Small Business,41,15-01-24
CUST-00376,Ibrahim Shawky,Giza,Small Business,39,02-10-22
CUST-00523,Sara Fathy,Giza,Corporate,57,23-04-23
CUST-00606,Salma Ali,Giza,Unknown,55,19-02-24
CUST-00066,Omar Nabil,Giza,Unknown,54,07-09-23
CUST-00582,Ali Adel,Giza,Consumer,23,21-10-23
CUST-00371,Hassan Gouda,Giza,Small Business,42,10-10-23
CUST-00467,Heba Shawky,Giza,Corporate,53,27-10-23
CUST-00774,Laila Khalil,Giza,Corporate,49,09-04-23
CUST-00397,Ahmed Sabry,Giza,Small Business,54,14-08-24
CUST-00345,Amr Adel,Giza,Consumer,47,11-07-22
CUST-00227,Sherif Hassan,Giza,Unknown,54,25-01-24
CUST-00385,Ahmed Hassan,Giza,Consumer,45,14-12-23
CUST-00483,Sara Nabil,Giza,Consumer,43,01-11-22
CUST-00797,Sherif Adel,Giza,Small Business,35,23-12-22
CUST-00568,Mostafa Kamal,Giza,Unknown,57,03-12-22
CUST-00003,Adham Gouda,Giza,Small Business,20,28-01-23
CUST-00612,Ali Adel,Giza,Corporate,36,03-02-23
CUST-00515,Karim Hassan,Giza,Corporate,46,05-09-22
CUST-00232,Ahmed Saad,Giza,Consumer,21,01-11-23
CUST-00238,Mona Younes,Giza,Corporate,25,22-12-23
CUST-00387,Amr Ali,Giza,Small Business,26,17-11-22
CUST-00770,Nada Zaki,Giza,Small Business,58,14-08-22
CUST-00624,Ali Fathy,Giza,Small Business,36,11-11-23
CUST-00768,Ali Hassan,Giza,Small Business,53,16-07-23
CUST-00384,Mahmoud Farouk,Giza,Corporate,46,31-08-23
CUST-00545,Habiba Hassan,Giza,Unknown,30,02-07-24
CUST-00503,Rania Mahmoud,Giza,Consumer,57,26-06-22
CUST-00727,Rania Sabry,Giza,Corporate,35,28-09-23
CUST-00313,Mostafa Saad,Giza,Consumer,22,05-11-22
CUST-00510,Nesma Younes,Giza,Consumer,50,07-06-24
CUST-00417,Dina Aziz,Giza,Corporate,38,26-11-22
CUST-00183,Adham Kamal,Giza,Corporate,64,13-04-24
CUST-00603,Yasmin Adel,Giza,Corporate,53,31-05-24
CUST-00614,Omar Hassan,Giza,Corporate,46,01-02-24
CUST-00009,Rana Ibrahim,Giza,Corporate,52,22-05-24
CUST-00456,Amr Aziz,Giza,Corporate,65,04-11-23
CUST-00122,Ali Rashad,Giza,Consumer,44,24-06-24
CUST-00652,Salma Shawky,Giza,Corporate,37,04-07-23
CUST-00311,Salma Zaki,Giza,Small Business,23,13-01-22
CUST-00400,Omar Zaki,Giza,Corporate,50,03-06-23
CUST-00764,Yasmin Sabry,Giza,Small Business,18,27-02-23
CUST-00080,Omar Hassan,Giza,Consumer,26,29-07-22
CUST-00381,Habiba Saad,Giza,Corporate,28,26-03-22
CUST-00025,Ali Fathy,Giza,Corporate,60,28-09-23
CUST-00655,Heba Saad,Giza,Corporate,64,10-05-24
CUST-00292,Khaled Zaki,Giza,Small Business,21,24-01-23
CUST-00206,Rania Younes,Giza,Consumer,47,21-01-23
CUST-00324,Ibrahim Rashad,Giza,Corporate,22,27-03-24
CUST-00551,Rana Hassan,Giza,Consumer,31,22-08-22
CUST-00649,Laila Adel,Giza,Consumer,34,16-03-22
CUST-00654,Tarek Hassan,Giza,Consumer,63,17-11-22
CUST-00526,Mariam Fahmy,Giza,Corporate,63,06-01-24
CUST-00737,Mostafa Gouda,Giza,Consumer,64,04-12-23
CUST-00413,Tarek Sabry,Giza,Consumer,54,11-06-22
CUST-00431,Mostafa Aziz,Giza,Small Business,43,26-10-22
CUST-00522,Mariam Naguib,Giza,Unknown,47,05-07-24
CUST-00432,Salma Fahmy,Giza,Consumer,30,04-09-23
CUST-00162,Adham Shawky,Giza,Corporate,41,27-01-22
CUST-00784,Nada Nabil,Giza,Corporate,64,16-08-24
CUST-00666,Ali Ibrahim,Giza,Consumer,60,28-09-22
CUST-00002,Nada Rashad,Giza,Consumer,62,13-08-24
CUST-00415,Adham Mahmoud,Giza,Consumer,29,29-04-23
CUST-00518,Ibrahim Aziz,Giza,Consumer,35,25-10-23
CUST-00053,Amr Rashad,Giza,Corporate,20,31-05-23
CUST-00199,Karim Naguib,Giza,Corporate,62,21-08-23
CUST-00123,Omar Zaki,Giza,Small Business,23,30-05-23
CUST-00068,Habiba Ali,Giza,Consumer,45,20-02-24
CUST-00128,Heba Ali,Giza,Small Business,25,05-03-24
CUST-00418,Mariam Ibrahim,Giza,Corporate,61,09-08-23
CUST-00131,Mohamed Younes,Giza,Consumer,36,12-08-23
CUST-00651,Mostafa Aziz,Giza,Consumer,30,13-04-22
CUST-00014,Salma Mahmoud,Giza,Small Business,27,28-10-22
CUST-00315,Habiba Saad,Giza,Corporate,49,24-08-24
CUST-00362,Yasmin Mahmoud,Giza,Consumer,46,04-06-23
CUST-00321,Nesma Gouda,Giza,Small Business,35,11-03-24
CUST-00673,Mostafa Rashad,Giza,Corporate,59,19-06-22
CUST-00689,Heba Younes,Giza,Unknown,62,07-03-23
CUST-00326,Hassan Naguib,Giza,Small Business,56,19-03-24
CUST-00230,Rania Fahmy,Giza,Small Business,42,16-08-24
CUST-00109,Khaled Naguib,Giza,Small Business,,06-05-23
CUST-00618,Heba Saad,Giza,Consumer,55,24-07-23
CUST-00420,Mahmoud Rashad,Giza,Small Business,38,05-06-24
CUST-00635,Mahmoud Gouda,Giza,Small Business,44,21-04-24
CUST-00491,Amr Ibrahim,Giza,Corporate,44,16-11-23
CUST-00382,Omar Zaki,Giza,Corporate,32,03-10-23
CUST-00484,Nesma Farouk,Giza,Small Business,23,25-02-22
CUST-00078,Farida Naguib,Giza,Corporate,55,24-04-22
CUST-00124,Habiba Aziz,Giza,Consumer,63,29-01-22
CUST-00115,Adham Rashad,Giza,Corporate,46,18-09-23
CUST-00793,Mostafa Shawky,Giza,Corporate,59,27-08-22
CUST-00691,Amr Naguib,Giza,Consumer,23,18-05-22
CUST-00161,Sherif Sabry,Giza,Consumer,26,05-06-23
CUST-00493,Rania Gouda,Giza,Small Business,23,21-06-24
CUST-00741,Salma Shawky,Giza,Corporate,21,04-11-22
CUST-00751,Salma Nabil,Giza,Corporate,43,29-12-23
CUST-00048,Hassan Khalil,Giza,Consumer,26,03-01-22
CUST-00653,Hassan Gouda,Giza,Small Business,45,04-08-23
CUST-00245,Mahmoud Mahmoud,Giza,Consumer,52,10-03-23
CUST-00386,Mostafa Shawky,Giza,Consumer,64,14-03-22
CUST-00745,Mohamed Naguib,Giza,Corporate,56,05-05-22
CUST-00169,Farida Younes,Giza,Consumer,34,05-07-24
CUST-00717,Aya Rashad,Alexandria,Corporate,19,29-11-23
CUST-00713,Hossam Rashad,Alexandria,Consumer,34,10-08-24
CUST-00114,Tarek Rashad,Alexandria,Corporate,64,14-02-22
CUST-00661,Rania Farouk,Alexandria,Corporate,64,10-01-23
CUST-00246,Omar Ibrahim,Alexandria,Small Business,44,14-08-24
CUST-00028,Nour Fahmy,Alexandria,Consumer,26,05-02-24
CUST-00636,Nada Rashad,Alexandria,Small Business,19,08-10-23
CUST-00351,Hassan Younes,Alexandria,Consumer,54,02-02-23
CUST-00101,Youssef Aziz,Alexandria,Small Business,51,26-12-23
CUST-00082,Heba Kamal,Alexandria,Corporate,,13-05-22
CUST-00033,Sara Adel,Alexandria,Corporate,65,07-05-22
CUST-00248,Dina Sabry,Alexandria,Small Business,42,01-07-24
CUST-00585,Mohamed Ali,Alexandria,Corporate,53,18-02-23
CUST-00462,Ali Hassan,Alexandria,Small Business,57,24-06-23
CUST-00041,Amr Shawky,Alexandria,Small Business,20,23-09-23
CUST-00337,Farida Shawky,Alexandria,Corporate,46,04-10-22
CUST-00730,Youssef Younes,Alexandria,Corporate,29,22-12-22
CUST-00390,Ibrahim Farouk,Alexandria,Corporate,46,30-07-24
CUST-00767,Yasmin Hassan,Alexandria,Small Business,56,24-02-24
CUST-00573,Rania Gouda,Alexandria,Corporate,42,26-11-23
CUST-00119,Sara Mahmoud,Alexandria,Small Business,53,19-10-23
CUST-00145,Khaled Naguib,Alexandria,Consumer,,22-03-22
CUST-00343,Mona Gouda,Alexandria,Corporate,31,16-03-23
CUST-00616,Hossam Fathy,Alexandria,Corporate,22,29-10-22
CUST-00600,Salma Younes,Alexandria,Corporate,62,21-06-24
CUST-00611,Youssef Sabry,Alexandria,Corporate,61,13-04-24
CUST-00595,Aya Ali,Alexandria,Corporate,61,15-02-24
CUST-00498,Salma Ibrahim,Alexandria,Small Business,53,31-03-22
CUST-00087,Laila Sabry,Alexandria,Consumer,33,01-04-22
CUST-00422,Yasmin Khalil,Alexandria,Corporate,49,06-09-22
CUST-00333,Ali Rashad,Alexandria,Corporate,55,19-01-23
CUST-00499,Salma Saad,Alexandria,Consumer,62,17-06-23
CUST-00684,Mahmoud Aziz,Alexandria,Consumer,19,23-01-23
CUST-00570,Rana Zaki,Alexandria,Small Business,62,12-09-24
CUST-00738,Mariam Aziz,Alexandria,Small Business,30,23-07-23
CUST-00181,Laila Ali,Alexandria,Consumer,24,01-10-22
CUST-00203,Karim Fathy,Alexandria,Small Business,27,20-01-22
CUST-00379,Karim Kamal,Alexandria,Small Business,30,28-03-23
CUST-00439,Mohamed Zaki,Alexandria,Corporate,53,25-05-24
CUST-00210,Ibrahim Shawky,Alexandria,Unknown,64,21-11-22
CUST-00756,Omar Hassan,Alexandria,Consumer,24,29-02-24
CUST-00735,Habiba Kamal,Alexandria,Small Business,62,26-05-23
CUST-00217,Ali Mahmoud,Alexandria,Corporate,48,13-04-22
CUST-00052,Karim Ibrahim,Alexandria,Small Business,50,03-05-23
CUST-00314,Tarek Naguib,Alexandria,Small Business,22,10-10-22
CUST-00404,Mahmoud Nabil,Alexandria,Consumer,21,17-12-23
CUST-00599,Sherif Farouk,Alexandria,Corporate,56,17-04-22
CUST-00094,Salma Fahmy,Alexandria,Small Business,46,04-06-22
CUST-00201,Ali Mahmoud,Alexandria,Corporate,58,21-08-23
CUST-00073,Ibrahim Zaki,Alexandria,Consumer,41,06-03-23
CUST-00736,Habiba Sabry,Alexandria,Small Business,29,24-05-24
CUST-00334,Hassan Sabry,Alexandria,Small Business,44,26-01-22
CUST-00640,Nour Rashad,Alexandria,Corporate,19,26-01-23
CUST-00613,Omar Zaki,Alexandria,Corporate,38,01-02-23
CUST-00157,Sara Saad,Alexandria,Corporate,36,22-12-23
CUST-00698,Habiba Adel,Alexandria,Small Business,54,23-07-23
CUST-00309,Khaled Kamal,Alexandria,Corporate,50,18-03-23
CUST-00760,Farida Fahmy,Alexandria,Corporate,35,03-06-24
CUST-00352,Nada Naguib,Alexandria,Corporate,62,10-07-22
CUST-00502,Farida Naguib,Alexandria,Small Business,54,28-09-22
CUST-00619,Sara Hassan,Alexandria,Consumer,20,12-05-22
CUST-00787,Karim Aziz,Alexandria,Consumer,28,11-10-23
CUST-00625,Ibrahim Khalil,Alexandria,Corporate,59,28-06-23
CUST-00401,Dina Naguib,Alexandria,Corporate,52,20-12-23
CUST-00405,Adham Ibrahim,Alexandria,Small Business,57,08-04-24
CUST-00117,Habiba Gouda,Alexandria,Small Business,42,28-03-23
CUST-00555,Omar Ali,Alexandria,Consumer,53,03-03-23
CUST-00251,Ahmed Hassan,Alexandria,Unknown,52,02-11-22
CUST-00067,Ibrahim Farouk,Alexandria,Consumer,40,04-11-23
CUST-00505,Adham Mahmoud,Alexandria,Small Business,41,03-02-24
CUST-00134,Mohamed Zaki,Alexandria,Corporate,42,13-06-24
CUST-00224,Amr Fahmy,Alexandria,Corporate,52,19-10-22
CUST-00656,Aya Shawky,Alexandria,Small Business,49,19-04-23
CUST-00140,Salma Nabil,Alexandria,Corporate,48,12-06-23
CUST-00788,Mariam Gouda,Alexandria,Consumer,18,03-05-22
CUST-00403,Hassan Adel,Alexandria,Corporate,59,01-12-22
CUST-00538,Nada Younes,Alexandria,Consumer,26,02-11-22
CUST-00377,Mostafa Gouda,Alexandria,Small Business,61,22-05-24
CUST-00392,Nada Sabry,Alexandria,Consumer,33,13-09-24
CUST-00348,Farida Sabry,Alexandria,Consumer,61,15-05-24
CUST-00042,Habiba Fathy,Alexandria,Consumer,41,31-03-23
CUST-00182,Omar Nabil,Alexandria,Corporate,44,26-08-24
CUST-00446,Rana Shawky,Alexandria,Small Business,29,31-01-22
CUST-00664,Tarek Younes,Alexandria,Consumer,54,24-05-22
CUST-00489,Mona Mahmoud,Alexandria,Small Business,32,27-09-22
CUST-00734,Sara Aziz,Alexandria,Corporate,39,03-10-22
CUST-00353,Sherif Adel,Alexandria,Consumer,29,20-06-22
CUST-00021,Rania Ali,Alexandria,Unknown,54,31-08-22
CUST-00364,Farida Khalil,Alexandria,Corporate,26,10-10-23
CUST-00296,Rania Saad,Minya,Unknown,35,17-02-22
CUST-00016,Sherif Ibrahim,Ismailia,Unknown,61,17-09-23
CUST-00722,Farida Fathy,Sharqia,Unknown,65,04-07-24
CUST-00521,Sara Khalil,Minya,Unknown,63,04-04-24
CUST-00559,Karim Nabil,Beheira,Unknown,30,27-04-22
CUST-00692,Nour Khalil,Qalyubia,Unknown,30,16-06-24
CUST-00566,Nour Sabry,Gharbia,Unknown,65,31-03-24
CUST-00102,Tarek Sabry,Faiyum,Unknown,44,17-01-23
CUST-00579,Nada Farouk,Suez,Unknown,21,09-05-24
CUST-00602,Mostafa Farouk,Sharqia,Unknown,50,27-02-23
CUST-00357,Nesma Kamal,Sharqia,Unknown,36,26-03-22
CUST-00147,Yasmin Rashad,Monufia,Unknown,62,09-10-23
CUST-00008,Mahmoud Shawky,Aswan,Unknown,57,03-11-24
CUST-00647,Tarek Kamal,Dakahlia,Unknown,30,15-08-22
CUST-00274,Amr Shawky,Suez,Unknown,41,19-02-24
CUST-00341,Heba Rashad,Port Said,Unknown,29,26-08-22
CUST-00336,Yasmin Fahmy,Beheira,Unknown,48,12-04-23
CUST-00110,Sherif Fathy,Minya,Unknown,30,16-12-22
CUST-00280,Laila Kamal,Port Said,Unknown,26,21-01-24
CUST-00237,Ibrahim Aziz,Beheira,Unknown,51,28-11-23
CUST-00542,Ibrahim Kamal,Beheira,Unknown,23,14-08-23
CUST-00322,Rana Sabry,Minya,Unknown,55,27-04-22
CUST-00594,Rana Fathy,Suez,Unknown,63,14-04-23
CUST-00672,Farida Sabry,Port Said,Unknown,18,14-05-23
CUST-00305,Nada Ibrahim,Dakahlia,Unknown,63,01-03-24
CUST-00448,Hassan Mahmoud,Dakahlia,Unknown,59,21-09-23
CUST-00258,Salma Gouda,Beheira,Unknown,33,05-09-23
CUST-00478,Mohamed Fahmy,Minya,Consumer,39,25-09-22
CUST-00471,Ali Gouda,Minya,Consumer,39,17-04-22
CUST-00369,Mariam Farouk,Ismailia,Consumer,27,20-12-23
CUST-00593,Dina Ali,Dakahlia,Consumer,25,18-09-22
CUST-00049,Sara Kamal,Gharbia,Consumer,26,23-04-22
CUST-00512,Mohamed Kamal,Ismailia,Consumer,21,17-07-22
CUST-00289,Sara Sabry,Port Said,Consumer,41,01-10-22
